feature,weight,abs_weight,type,aggregation
files_count_mid_mean,-0.09561578,0.09561578,action,mean
peak_activity_hour_trend,0.09498445,0.09498445,state,trend
multi_file_change_ratio_volatility,0.09497083,0.09497083,state,volatility
avg_directory_depth_short_mean,0.09496197,0.09496197,state,mean
avg_directory_depth_volatility,-0.093597054,0.093597054,state,volatility
avg_lines_per_change_short_mean,0.091508694,0.091508694,state,mean
total_projects_volatility,-0.091421865,0.091421865,state,volatility
total_changes_mean,0.09040887,0.09040887,state,mean
change_size_volatility,0.089194596,0.089194596,action,volatility
consecutive_active_days_mean,0.089186504,0.089186504,state,mean
quality_min,0.08891559,0.08891559,action,min
avg_files_per_change_short_mean,-0.08807868,0.08807868,state,mean
lines_changed_7d_min,0.08725168,0.08725168,state,min
review_participation_rate_min,0.08716432,0.08716432,state,min
total_files_touched_weighted_mean,-0.08711046,0.08711046,state,mean
change_size_mean,0.087080956,0.087080956,action,mean
experience_normalized_weighted_mean,0.086973086,0.086973086,state,mean
avg_lines_per_change_last,0.08693136,0.08693136,state,last
unique_collaborators_change,-0.086344644,0.086344644,state,change
review_participation_rate_trend,0.08627247,0.08627247,state,trend
avg_interaction_strength_mean,-0.08535219,0.08535219,state,mean
total_files_touched_mid_mean,-0.08517941,0.08517941,state,mean
experience_normalized_max,-0.08477844,0.08477844,state,max
multi_file_change_ratio_trend,-0.08438519,0.08438519,state,trend
change_size_last,0.08345811,0.08345811,action,last
specialization_score_weighted_mean,-0.08179362,0.08179362,state,mean
total_changes_min,-0.08122059,0.08122059,state,min
unique_collaborators_max,0.080884956,0.080884956,state,max
intensity_short_mean,0.08086376,0.08086376,action,mean
peak_activity_hour_last,-0.0808622,0.0808622,state,last
total_files_touched_last,-0.079977706,0.079977706,state,last
response_latency_min,0.07993556,0.07993556,action,min
review_participation_rate_volatility,-0.07853794,0.07853794,state,volatility
lines_changed_7d_mean,0.07746077,0.07746077,state,mean
avg_complexity_30d_mean,0.076386094,0.076386094,state,mean
intensity_mid_mean,-0.076118,0.076118,action,mean
activity_freq_7d_max,-0.07392835,0.07392835,state,max
change_size_trend,-0.07380067,0.07380067,action,trend
avg_review_depth_weighted_mean,0.07186722,0.07186722,state,mean
collaboration_diversity_weighted_mean,0.07157745,0.07157745,state,mean
cross_project_ratio_change,0.070884354,0.070884354,state,change
avg_files_per_change_max,0.0682543,0.0682543,state,max
change_size_change,0.06823759,0.06823759,action,change
total_projects_change,-0.067787535,0.067787535,state,change
timestamp_age_weighted_mean,-0.06751606,0.06751606,action,mean
peak_activity_hour_mid_mean,-0.06704641,0.06704641,state,mean
multi_file_change_ratio_min,0.066433616,0.066433616,state,min
total_projects_weighted_mean,-0.06640663,0.06640663,state,mean
change_size_max,-0.06590054,0.06590054,action,max
review_load_30d_last,0.06499205,0.06499205,state,last
avg_review_depth_mean,-0.064131565,0.064131565,state,mean
avg_complexity_7d_short_mean,0.064065985,0.064065985,state,mean
activity_freq_90d_volatility,-0.06389585,0.06389585,state,volatility
review_load_30d_max,-0.06285069,0.06285069,state,max
code_churn_30d_min,-0.062794946,0.062794946,state,min
code_churn_30d_volatility,0.062151086,0.062151086,state,volatility
avg_interaction_strength_last,0.0615724,0.0615724,state,last
experience_normalized_mean,0.06154902,0.06154902,state,mean
weekend_activity_ratio_max,-0.059931,0.059931,state,max
avg_directory_depth_mean,0.05951529,0.05951529,state,mean
review_load_7d_mid_mean,0.058881756,0.058881756,state,mean
avg_complexity_7d_volatility,0.05829801,0.05829801,state,volatility
avg_files_per_change_trend,-0.058046952,0.058046952,state,trend
files_count_last,-0.05713653,0.05713653,action,last
avg_files_per_change_change,-0.056907997,0.056907997,state,change
specialization_score_short_mean,-0.056885216,0.056885216,state,mean
lines_changed_7d_max,-0.056008305,0.056008305,state,max
quality_max,-0.055591263,0.055591263,action,max
files_count_weighted_mean,0.05419622,0.05419622,action,mean
multi_file_change_ratio_short_mean,-0.053729888,0.053729888,state,mean
cross_project_ratio_weighted_mean,0.053579107,0.053579107,state,mean
review_participation_rate_max,0.053373136,0.053373136,state,max
collaboration_mean,-0.0529066,0.0529066,action,mean
avg_lines_per_change_min,-0.049362414,0.049362414,state,min
review_participation_rate_weighted_mean,0.049300507,0.049300507,state,mean
consecutive_active_days_max,0.04628628,0.04628628,state,max
avg_directory_depth_mid_mean,-0.04599723,0.04599723,state,mean
total_projects_trend,0.04553652,0.04553652,state,trend
lines_changed_7d_weighted_mean,0.045465346,0.045465346,state,mean
total_files_touched_volatility,0.04507911,0.04507911,state,volatility
files_count_min,-0.044192873,0.044192873,action,min
activity_freq_90d_max,0.0440453,0.0440453,state,max
total_projects_mid_mean,0.04295892,0.04295892,state,mean
avg_lines_per_change_trend,0.041379698,0.041379698,state,trend
complexity_volatility,0.041304532,0.041304532,action,volatility
avg_directory_depth_weighted_mean,-0.04125812,0.04125812,state,mean
avg_review_depth_last,-0.04123543,0.04123543,state,last
avg_review_depth_change,-0.040922403,0.040922403,state,change
collaboration_diversity_min,0.040215235,0.040215235,state,min
response_latency_max,-0.03976126,0.03976126,action,max
multi_file_change_ratio_max,-0.03945174,0.03945174,state,max
review_response_time_trend,0.03806977,0.03806977,state,trend
cross_project_ratio_max,0.036735654,0.036735654,state,max
avg_complexity_7d_weighted_mean,0.036569107,0.036569107,state,mean
consecutive_active_days_change,0.035521187,0.035521187,state,change
collaboration_min,0.03521141,0.03521141,action,min
timestamp_age_mean,0.0341964,0.0341964,action,mean
experience_days_min,0.033941705,0.033941705,state,min
intensity_volatility,0.03380389,0.03380389,action,volatility
activity_freq_7d_min,0.03312493,0.03312493,state,min
multi_file_change_ratio_change,0.032699488,0.032699488,state,change
timestamp_age_volatility,-0.032598343,0.032598343,action,volatility
total_changes_volatility,0.032309577,0.032309577,state,volatility
activity_freq_90d_trend,0.031988982,0.031988982,state,trend
complexity_short_mean,0.031718586,0.031718586,action,mean
avg_complexity_7d_min,-0.031090163,0.031090163,state,min
avg_complexity_30d_weighted_mean,0.029778372,0.029778372,state,mean
code_churn_7d_max,0.029311383,0.029311383,state,max
peak_activity_hour_short_mean,0.02841509,0.02841509,state,mean
change_size_min,0.02758952,0.02758952,action,min
activity_freq_30d_min,0.027084783,0.027084783,state,min
experience_days_change,-0.026365034,0.026365034,state,change
review_response_time_change,-0.0263556,0.0263556,state,change
review_load_7d_volatility,0.026227798,0.026227798,state,volatility
unique_collaborators_volatility,0.025823716,0.025823716,state,volatility
code_churn_30d_weighted_mean,-0.025821794,0.025821794,state,mean
file_type_diversity_last,0.024988653,0.024988653,state,last
complexity_trend,-0.024866607,0.024866607,action,trend
file_type_diversity_min,0.023831591,0.023831591,state,min
total_changes_weighted_mean,0.023782652,0.023782652,state,mean
experience_days_max,-0.023239475,0.023239475,state,max
cross_project_ratio_trend,-0.022464842,0.022464842,state,trend
consecutive_active_days_min,0.022374017,0.022374017,state,min
activity_freq_30d_volatility,0.021816391,0.021816391,state,volatility
avg_complexity_30d_change,0.020908963,0.020908963,state,change
avg_directory_depth_change,0.019851713,0.019851713,state,change
avg_code_complexity_max,-0.019177666,0.019177666,state,max
weekend_activity_ratio_weighted_mean,-0.018942924,0.018942924,state,mean
weekend_activity_ratio_min,0.018817391,0.018817391,state,min
code_churn_7d_weighted_mean,-0.016929138,0.016929138,state,mean
activity_freq_90d_short_mean,0.015754411,0.015754411,state,mean
review_load_30d_weighted_mean,-0.015704997,0.015704997,state,mean
activity_freq_30d_last,-0.015474999,0.015474999,state,last
files_count_max,0.015368128,0.015368128,action,max
collaboration_mid_mean,-0.015185088,0.015185088,action,mean
complexity_max,0.015063623,0.015063623,action,max
avg_review_depth_trend,-0.01270245,0.01270245,state,trend
peak_activity_hour_max,-0.012388495,0.012388495,state,max
avg_interaction_strength_weighted_mean,0.0122464765,0.0122464765,state,mean
experience_days_trend,0.011891616,0.011891616,state,trend
lines_changed_7d_change,0.010141926,0.010141926,state,change
timestamp_age_min,0.009907,0.009907,action,min
specialization_score_mean,0.009150717,0.009150717,state,mean
unique_collaborators_mean,-0.009098698,0.009098698,state,mean
files_count_change,0.008641286,0.008641286,action,change
files_count_volatility,0.007769604,0.007769604,action,volatility
unique_collaborators_weighted_mean,-0.007448997,0.007448997,state,mean
cross_project_ratio_min,-0.0063139037,0.0063139037,state,min
specialization_score_min,0.0053753615,0.0053753615,state,min
collaboration_weighted_mean,0.00517699,0.00517699,action,mean
total_changes_mid_mean,-0.0029323413,0.0029323413,state,mean
total_projects_min,-0.002882629,0.002882629,state,min
intensity_min,-0.0020136407,0.0020136407,action,min
total_changes_short_mean,-0.0019941407,0.0019941407,state,mean
multi_file_change_ratio_weighted_mean,-0.0019507144,0.0019507144,state,mean
peak_activity_hour_change,-0.001473129,0.001473129,state,change
avg_interaction_strength_mid_mean,0.0012084254,0.0012084254,state,mean
total_changes_last,0.0002017254,0.0002017254,state,last
review_load_30d_mid_mean,0.0001924613,0.0001924613,state,mean
action_type_mid_mean,0.0,0.0,action,mean
action_type_trend,0.0,0.0,action,trend
action_type_change,0.0,0.0,action,change
action_type_short_mean,0.0,0.0,action,mean
action_type_volatility,0.0,0.0,action,volatility
action_type_max,0.0,0.0,action,max
action_type_min,0.0,0.0,action,min
action_type_weighted_mean,0.0,0.0,action,mean
action_type_mean,0.0,0.0,action,mean
action_type_last,0.0,0.0,action,last
