feature,coef_scaled,coef_original,abs_coef_scaled,abs_coef_original
state_activity_freq_7d_trend,-0.05663615143700372,-0.2547721477843089,0.05663615143700372,0.2547721477843089
state_review_load_30d_trend,-0.056522179450398516,-0.005565662060564211,0.056522179450398516,0.005565662060564211
state_consecutive_active_days_min,0.05587742764521837,0.06407710136040586,0.05587742764521837,0.06407710136040586
state_avg_complexity_7d_max,0.055518688362984445,0.7576177783460231,0.055518688362984445,0.7576177783460231
action_change_size_last,0.05283198728066817,5.598602139482777e-05,0.05283198728066817,5.598602139482777e-05
state_collaboration_diversity_mean,-0.052217079469984405,-1.022544165576595,0.052217079469984405,1.022544165576595
state_avg_files_per_change_min,0.05192096071962566,0.18668769052639897,0.05192096071962566,0.18668769052639897
state_code_churn_30d_trend,-0.04954427162695974,-3.3750820461582246e-05,0.04954427162695974,3.3750820461582246e-05
state_total_changes_max,0.04745511342490985,5.910049429819284e-06,0.04745511342490985,5.910049429819284e-06
state_code_churn_30d_last,0.0459266370870381,5.164996905292401e-05,0.0459266370870381,5.164996905292401e-05
state_activity_freq_90d_min,0.045032250527727906,0.8226452150450402,0.045032250527727906,0.8226452150450402
state_review_load_7d_max,-0.04499359076985178,-0.006148776257500768,0.04499359076985178,0.006148776257500768
action_collaboration_mean,-0.04394883410238802,-0.8583958502895842,0.04394883410238802,0.8583958502895842
state_activity_freq_30d_min,-0.04292195091572976,-0.9870532062535391,0.04292195091572976,0.9870532062535391
state_review_load_7d_last,-0.0402193784802936,-0.0057752208388655085,0.0402193784802936,0.0057752208388655085
state_multi_file_change_ratio_trend,-0.040180129338843726,-0.15064029192075182,0.040180129338843726,0.15064029192075182
state_cross_project_ratio_mean,-0.039671582049190024,-0.8470946234970208,0.039671582049190024,0.8470946234970208
action_response_latency_trend,0.03885690827419844,0.01353692597776144,0.03885690827419844,0.01353692597776144
state_file_type_diversity_max,0.0377255174543283,0.525342312394749,0.0377255174543283,0.525342312394749
state_experience_days_trend,0.03743187595972841,2.035114066457818e-05,0.03743187595972841,2.035114066457818e-05
state_experience_normalized_trend,0.03743160913290145,1.1611282064020878,0.03743160913290145,1.1611282064020878
state_consecutive_active_days_mean,-0.03739110699703114,-0.0660681496465696,0.03739110699703114,0.0660681496465696
state_file_type_diversity_last,-0.037323691723596,-0.20487771034761168,0.037323691723596,0.20487771034761168
state_weekend_activity_ratio_max,-0.03699904846958125,-0.36699330844225203,0.03699904846958125,0.36699330844225203
state_consecutive_active_days_max,-0.036447310111111485,-0.02326278780230262,0.036447310111111485,0.02326278780230262
state_avg_code_complexity_trend,-0.03606905746722453,-0.13486016198593714,0.03606905746722453,0.13486016198593714
state_avg_review_depth_trend,0.03431560349246227,0.12310625054868679,0.03431560349246227,0.12310625054868679
state_avg_complexity_7d_mean,-0.03428271852377833,-0.7056024768322551,0.03428271852377833,0.7056024768322551
action_timestamp_age_trend,0.03341266067849482,0.004437263646163751,0.03341266067849482,0.004437263646163751
state_code_churn_7d_min,-0.03241901566640116,-0.0027990366043178293,0.03241901566640116,0.0027990366043178293
action_quality_max,-0.03180622304076179,-0.7520687433945559,0.03180622304076179,0.7520687433945559
state_avg_interaction_strength_mean,-0.031525640866871936,-0.757492166631919,0.031525640866871936,0.757492166631919
state_avg_review_depth_max,0.03091603447266145,0.3288997221310634,0.03091603447266145,0.3288997221310634
state_unique_collaborators_min,-0.029935033225076096,-0.547789330522411,0.029935033225076096,0.547789330522411
state_avg_directory_depth_last,-0.02966817727257079,-0.14858958267951689,0.02966817727257079,0.14858958267951689
state_avg_complexity_30d_min,-0.029540964545574193,-0.40656728879198106,0.029540964545574193,0.40656728879198106
action_complexity_mean,-0.028635697419433913,-0.5994108772774684,0.028635697419433913,0.5994108772774684
state_avg_code_complexity_min,-0.02828092708531563,-0.39149807233380995,0.02828092708531563,0.39149807233380995
state_experience_normalized_min,0.02797628216029161,131.41177851366132,0.02797628216029161,131.41177851366132
state_experience_days_min,0.027975998832800473,0.002303219782422855,0.027975998832800473,0.002303219782422855
state_avg_lines_per_change_max,0.027892666343551527,8.348070584666996e-06,0.027892666343551527,8.348070584666996e-06
action_quality_last,-0.027795015383624593,-0.1599321982382853,0.027795015383624593,0.1599321982382853
state_avg_interaction_strength_max,-0.0270400303445472,-0.26595152570132746,0.0270400303445472,0.26595152570132746
state_unique_collaborators_trend,-0.02534512975548523,-0.09128514475875109,0.02534512975548523,0.09128514475875109
action_timestamp_age_min,-0.022770109586997836,-0.06908336180613321,0.022770109586997836,0.06908336180613321
action_complexity_max,-0.022733512934683113,-0.3084324406197064,0.022733512934683113,0.3084324406197064
